location,size,total_sqft,bath,price,price_per_sqft
other,5 Bedroom,3600,5,110,3055
Kanakpura Road,3 BHK,1593,3,118,7407
other,2 BHK,1333,2,77.27,5796
other,3 Bedroom,1100,3,110,10000
Raja Rajeshwari Nagar,3 BHK,1375,2,54.99,3999
Ardendale,3 BHK,1650,3,82,4969
Thanisandra,3 BHK,1430,2,51.48,3600
Electronic City,2 BHK,940,2,54,5744
Electronic City,1 BHK,435,1,21,4827
Begur Road,2 BHK,1160,2,36.54,3150
Electronic City,3 BHK,1500,2,77.5,5166
Koramangala,3 BHK,1890,2,100,5291
other,2 BHK,1050,2,70,6666
Singasandra,6 Bedroom,1200,6,220,18333
Haralur Road,2 BHK,1027,2,43,4186
Seegehalli,3 Bedroom,3000,4,235,7833
Tumkur Road,3 BHK,1459,2,95,6511
Yelahanka,3 BHK,1711,3,85.61,5003
Hoodi,2 BHK,1250,2,98,7840
Chandapura,1 BHK,645,1,16.45,2550
Anandapura,2 Bedroom,875,2,57,6514
Ramamurthy Nagar,2 BHK,1334,2,67,5022
other,2 BHK,1140,2,32.92,2887
Sarjapur  Road,2 BHK,1115,2,50,4484
Amruthahalli,3 Bedroom,1200,5,200,16666
Rajaji Nagar,3 BHK,1776,3,190,10698
Thigalarapalya,3 BHK,2072,4,160,7722
Kundalahalli,3 Bedroom,1600,3,170,10625
other,6 Bedroom,1200,4,115,9583
Kengeri Satellite Town,2 BHK,920,2,39,4239
Chandapura,2 BHK,778,2,25.29,3250
Nagasandra,4 Bedroom,1310,3,95,7251
Electronic City,3 BHK,1631,3,80,4904
Kanakpura Road,1 BHK,525,1,27.5,5238
Jalahalli,3 BHK,1395,3,82,5878
other,3 BHK,2000,3,105,5250
Hennur Road,2 BHK,1232,2,66,5357
other,2 BHK,1075,2,55,5116
Gubbalala,2 BHK,1205,2,70,5809
other,4 Bedroom,1200,4,165,13750
Rajiv Nagar,4 BHK,2340,5,129,5512
Rayasandra,3 BHK,1179,2,55,4664
Kodigehaali,2 BHK,1013,2,51,5034
Uttarahalli,2 BHK,1160,2,40.6,3500
7th Phase JP Nagar,2 BHK,1200,2,62.5,5208
other,7 Bedroom,1200,5,80,6666
Uttarahalli,3 BHK,1255,2,50.19,3999
other,3 BHK,1100,2,145,13181
other,2 BHK,1069,2,55,5144
other,3 Bedroom,1200,3,99,8250
Kudlu Gate,1 BHK,1400,1,285,20357
Marathahalli,2 BHK,1065,2,55,5164
Lakshminarayana Pura,2 BHK,1395,2,75,5376
Hebbal Kempapura,3 BHK,1725,2,165,9565
other,2 BHK,1007,2,43,4270
Kengeri,3 BHK,1436,2,55,3830
other,6 BHK,4250,6,150,3529
Hebbal,3 BHK,1645,3,117,7112
Kengeri,2 Bedroom,1200,2,58,4833
Mysore Road,2 BHK,940,2,43.61,4639
KR Puram,6 Bedroom,4300,6,175,4069
Hebbal,3 BHK,2850,5,343,12035
Indira Nagar,3 BHK,1740,3,191,10977
Haralur Road,2 BHK,1194,2,47,3936
other,3 BHK,3761,3,650,17282
Dodda Nekkundi,3 BHK,1829,3,125,6834
Whitefield,4 Bedroom,1800,4,178,9888
other,2 BHK,1000,2,60,6000
other,3 Bedroom,5720,3,350,6118
other,5 Bedroom,800,4,98,12250
other,2 BHK,675,1,15,2222
Hebbal,2 BHK,1390,2,95,6834
Lakshminarayana Pura,3 BHK,1500,3,104,6933
Vijayanagar,3 BHK,2047,3,136,6643
Jakkur,2 BHK,1202,2,79,6572
other,2 BHK,1012,2,59,5830
Gunjur,3 BHK,2132,3,80,3752
Raja Rajeshwari Nagar,4 Bedroom,1350,4,340,25185
Whitefield,1 BHK,605,1,40,6611
Harlur,2 BHK,1331,2,88,6611
Margondanahalli,2 Bedroom,1200,2,69,5750
other,2 BHK,1150,2,250,21739
Sahakara Nagar,2 Bedroom,1200,2,136,11333
other,2 Bedroom,1800,2,300,16666
Kammanahalli,3 Bedroom,600,2,50,8333
other,3 BHK,1280,2,49,3828
Balagere,2 BHK,1007,2,62,6156
Thanisandra,3 BHK,1370,2,61,4452
other,2 BHK,925,2,35,3783
TC Palaya,2 BHK,1500,2,75,5000
Attibele,1 BHK,450,1,12.5,2777
other,4 Bedroom,1200,4,140,11666
Hennur Road,2 BHK,1341,2,95,7084
2nd Phase Judicial Layout,3 BHK,1350,2,47.25,3500
Tumkur Road,2 BHK,992,2,60,6048
Uttarahalli,2 BHK,1163,2,68,5846
Sarjapur  Road,2 BHK,1229,2,70,5695
other,2 Bedroom,600,2,39,6500
Electronic City Phase II,2 BHK,1219,2,61.26,5025
Raja Rajeshwari Nagar,3 BHK,1525,2,99.13,6500
Kasavanhalli,2 BHK,1147,2,60,5231
Akshaya Nagar,3 BHK,1412,2,88,6232
Munnekollal,9 Bedroom,1200,9,215,17916
Sarjapur  Road,2 BHK,1044,2,34.77,3330
Nagarbhavi,2 BHK,1190,2,63,5294
other,3 BHK,1240,2,65,5241
Jigani,3 BHK,1352,3,65,4807
other,2 BHK,1100,2,55,5000
Uttarahalli,3 BHK,1330,2,39.9,3000
other,3 BHK,1700,3,111,6529
Electronic City,2 BHK,1355,2,67,4944
Ramamurthy Nagar,2 BHK,1200,2,46,3833
Kengeri,1 BHK,400,2,25,6250
Sarjapur  Road,2 BHK,1342,2,70,5216
Begur Road,3 BHK,1615,3,50.87,3149
other,2 BHK,1340,2,65,4850
other,2 BHK,1200,2,54,4500
Yeshwanthpur,1 Bedroom,400,1,55,13750
Devanahalli,2 BHK,1080,2,52,4814
other,2 BHK,1600,2,31,1937
Electronic City,2 BHK,1200,2,34,2833
Hennur Road,3 Bedroom,2700,3,150,5555
other,3 Bedroom,1780,3,110,6179
Amruthahalli,3 BHK,1605,3,65,4049
Ulsoor,4 BHK,7200,5,1584,22000
other,3 Bedroom,646,2,65,10061
Kammanahalli,2 BHK,1200,2,80,6666
Margondanahalli,2 Bedroom,900,2,49,5444
Sarjapur,3 Bedroom,1830,3,88,4808
Vishwapriya Layout,5 Bedroom,690,4,83,12028
other,1 BHK,650,1,500,76923
other,5 Bedroom,1800,4,68,3777
Chandapura,3 BHK,715,2,32,4475
Chandapura,3 BHK,1230,2,31.37,2550
Uttarahalli,2 BHK,1065,2,42.59,3999
other,8 Bedroom,1350,8,185,13703
other,3 Bedroom,1080,3,149,13796
other,3 BHK,900,2,65,7222
other,2 BHK,946,2,45,4756
Laggere,1 BHK,1500,1,60,4000
Sarjapur  Road,3 BHK,1711,3,110,6428
other,4 Bedroom,1200,3,160,13333
Chandapura,2 BHK,950,2,25.65,2700
Kudlu Gate,3 BHK,1656,3,80,4830
Uttarahalli,2 BHK,1075,2,46.76,4349
Harlur,3 BHK,1752.12,3,133,7590
Hebbal,8 Bedroom,6000,8,220,3666
other,3 BHK,1540,3,85,5519
6th Phase JP Nagar,4 Bedroom,600,4,125,20833
LB Shastri Nagar,1 BHK,665,1,32,4812
Sector 2 HSR Layout,3 BHK,1665,3,110,6606
Electronics City Phase 1,2 BHK,1145,2,54,4716
Whitefield,2 BHK,1185,2,41,3459
other,3 Bedroom,1200,3,190,15833
Marathahalli,3 BHK,1693,3,125,7383
other,3 BHK,2456,3,220,8957
Rajaji Nagar,3 BHK,2559,3,403,15748
Uttarahalli,2 BHK,1155,2,40.6,3515
other,3 BHK,1610,2,64.4,4000
Whitefield,3 Bedroom,1200,3,56.58,4715
other,2 Bedroom,1530,2,185,12091
EPIP Zone,3 BHK,1709,3,80,4681
Amruthahalli,4 Bedroom,600,4,60,10000
Brookefield,8 Bedroom,2700,8,290,10740
other,1 Bedroom,840,1,150,17857
Gottigere,3 BHK,1400,2,50,3571
KR Puram,2 BHK,1200,2,42,3500
other,3 BHK,1439,3,57.23,3977
Kasavanhalli,2 BHK,1375,2,72,5236
BTM 2nd Stage,5 Bedroom,2990,5,416,13913
Vijayanagar,3 BHK,1200,2,75,6250
Yelahanka,2 BHK,1315,2,75,5703
Dommasandra,2 Bedroom,1500,2,40,2666
Yelahanka,6 Bedroom,3600,6,200,5555
Vijayanagar,2 BHK,1178,2,82,6960
Bannerghatta Road,3 BHK,1430,3,59,4125
Mahadevpura,3 BHK,1400,2,65.8,4700
Thanisandra,2 BHK,1093,2,72,6587
Horamavu Banaswadi,2 BHK,1200,2,45,3750
Magadi Road,5 Bedroom,5000,6,360,7200
1st Block Jayanagar,3 BHK,1200,2,130,10833
Whitefield,3 BHK,2210,3,156,7058
Uttarahalli,2 BHK,1150,2,70,6086
other,3 BHK,1435,2,60,4181
other,4 Bedroom,600,3,100,16666
Whitefield,2 BHK,1173,2,78.2,6666
Thanisandra,2 BHK,1140,2,39,3421
other,3 BHK,1717,3,120,6988
Mallasandra,2 BHK,1325,2,65,4905
Hoodi,3 BHK,1370,3,67,4890
Electronics City Phase 1,2 BHK,1025,2,90,8780
other,3 BHK,1409,2,62,4400
Bellandur,2 BHK,1200,2,52,4333
Thanisandra,2 BHK,1200,2,53.5,4458
Whitefield,3 BHK,1740,4,130,7471
Hennur Road,2 BHK,1232,2,88,7142
Chandapura,2 Bedroom,1200,2,36,3000
Whitefield,4 BHK,5924,4,625,10550
other,2 BHK,1250,2,50,4000
other,2 BHK,1475,2,171,11593
Bommanahalli,4 BHK,2100,4,85,4047
5th Phase JP Nagar,1 BHK,552,1,23.5,4257
Uttarahalli,3 BHK,1065,2,42.59,3999
Hennur,3 Bedroom,1000,3,130,13000
other,2 Bedroom,1225,2,65,5306
other,1 BHK,650,1,16,2461
Padmanabhanagar,2 BHK,1067,2,52,4873
Sarjapur,3 BHK,1364,2,56,4105
other,3 BHK,1750,3,75,4285
Bannerghatta Road,2 BHK,1240,2,71,5725
Hulimavu,2 Bedroom,1200,2,75,6250
Kaggadasapura,3 BHK,1540,3,75,4870
other,3 BHK,1504,2,102,6781
other,2 BHK,1116,2,49.8,4462
Hennur Road,3 BHK,2365,4,175,7399
Sarjapura - Attibele Road,2 BHK,1308,2,37,2828
Vijayanagar,2 BHK,864,2,45,5208
Vidyaranyapura,5 Bedroom,1200,5,139,11583
Hoskote,3 BHK,1069,2,38,3554
Hebbal,2 BHK,1333,2,100,7501
other,4 BHK,1800,4,145,8055
Devanahalli,4 Bedroom,6136,4,550,8963
Thanisandra,3 BHK,1698,3,107,6301
JP Nagar,3 BHK,1275,2,43.6,3419
Raja Rajeshwari Nagar,2 BHK,1060,2,48,4528
Hennur,2 BHK,1160,2,49,4224
Sarjapur  Road,3 BHK,1484,2,65,4380
Hosa Road,3 Bedroom,675,3,70,10370
BEML Layout,3 Bedroom,1200,5,325,27083
Hennur Road,2 BHK,1310,2,66,5038
Vijayanagar,6 Bedroom,1806,6,370,20487
other,4 BHK,3000,4,240,8000
Varthur,3 BHK,2145,3,165,7692
Marathahalli,3 BHK,1693,3,125,7383
Jigani,3 BHK,1230,3,60,4878
Devanahalli,3 Bedroom,1200,3,145,12083
Bommasandra Industrial Area,3 BHK,1310,2,37.83,2887
other,2 BHK,1150,2,60,5217
Munnekollal,3 BHK,1385,2,66.5,4801
Tumkur Road,2 BHK,1066,2,52.5,4924
Thanisandra,3 BHK,2293,3,80.26,3500
Tindlu,3 Bedroom,720,3,81,11250
other,3 BHK,1625,3,92,5661
Vittasandra,2 BHK,1246,2,67.4,5409
Vijayanagar,4 Bedroom,2100,6,252,12000
other,4 BHK,2400,4,250,10416
Raja Rajeshwari Nagar,6 Bedroom,3900,6,195,5000
7th Phase JP Nagar,2 BHK,1000,2,70.65,7065
Nagavarapalya,2 BHK,907,2,38,4189
Ulsoor,4 Bedroom,3500,4,138,3942
Varthur,3 BHK,1395,2,79,5663
other,2 BHK,1180,2,50,4237
Banaswadi,5 Bedroom,1903,6,140,7356
Electronic City,2 BHK,1175,2,47,4000
other,2 BHK,1272,2,51.5,4048
other,3 BHK,1490,2,92,6174
Yeshwanthpur,2 BHK,1144,2,67,5856
other,4 Bedroom,2400,5,140,5833
Hormavu,2 BHK,1143,2,53,4636
Karuna Nagar,3 Bedroom,2500,3,190,7600
Whitefield,2 BHK,1216,2,75,6167
other,2 BHK,1044,2,60,5747
Prithvi Layout,2 BHK,1352,3,93,6878
Hennur Road,3 BHK,1552,3,75,4832
Bellandur,3 BHK,1785,3,120,6722
Pai Layout,2 BHK,810,2,34.5,4259
Banashankari Stage V,3 BHK,1650,3,51.98,3150
other,3 BHK,1595,3,70.39,4413
Whitefield,2 BHK,1060,2,35,3301
Babusapalaya,3 BHK,1410,2,65,4609
Nagarbhavi,3 BHK,1523,2,56,3676
Kanakpura Road,3 BHK,1591,3,122,7668
other,3 BHK,1640,3,84,5121
Yelahanka New Town,1 BHK,450,1,16,3555
Bannerghatta Road,3 BHK,1305,2,60,4597
Yelahanka,3 BHK,1590,3,54,3396
Kaggadasapura,2 BHK,1240,2,45,3629
other,2 BHK,1200,2,54,4500
Dodda Nekkundi,2 BHK,1100,2,41.16,3741
Koramangala,2 BHK,1180,2,128,10847
Sarjapur  Road,2 BHK,1115,2,50,4484
Bisuvanahalli,2 BHK,845,2,33,3905
other,3 BHK,1567.2,2,190,12123
Channasandra,3 BHK,1310,2,45,3435
Yelahanka,1 Bedroom,26136,1,150,573
other,2 BHK,959,2,42.5,4431
8th Phase JP Nagar,4 BHK,1200,4,140,11666
Kambipura,2 BHK,883,2,37,4190
Rachenahalli,2 BHK,1050,2,55.5,5285
Yelahanka,2 BHK,1390,2,70.21,5051
Kenchenahalli,3 BHK,1280,2,69,5390
other,7 Bedroom,1280,5,150,11718
Yelahanka,3 BHK,1614,3,95,5885
Kasturi Nagar,2 BHK,1000,2,58,5800
Marathahalli,2 BHK,1196,2,57.9,4841
Sarjapur  Road,3 BHK,1220,3,57,4672
Ambalipura,2 BHK,950,2,31.95,3363
other,9 BHK,2400,8,325,13541
other,2 BHK,1141,2,55,4820
5th Phase JP Nagar,2 BHK,1200,2,51,4250
Kasavanhalli,3 BHK,1380,2,55,3985
Doddathoguru,2 BHK,855,2,32,3742
Chandapura,1 BHK,645,1,16.45,2550
Chandapura,2 BHK,922,2,36,3904
other,2 BHK,1200,2,43.2,3600
other,3 BHK,1240,2,65,5241
7th Phase JP Nagar,2 BHK,1070,2,42,3925
other,2 BHK,1293,2,75,5800
R.T. Nagar,3 BHK,1380,2,50,3623
Yelahanka New Town,3 BHK,1599,3,80,5003
Nehru Nagar,2 BHK,967,2,41.1,4250
other,3 BHK,1885,3,90,4774
other,2 BHK,860,2,65.5,7616
Yelahanka,1 Bedroom,1075,1,19.5,1813
Sarjapur  Road,2 BHK,1050,2,63.5,6047
Marathahalli,3 BHK,1595,3,88,5517
Sarjapur  Road,2 BHK,1350,2,102,7555
Hebbal,2 BHK,1204,2,45,3737
Sarjapur  Road,4 BHK,2990,4,240,8026
Sarjapur  Road,2 BHK,1035,2,49,4734
ITPL,2 BHK,1000,2,29.95,2995
Sarjapur  Road,3 BHK,1457,3,85,5833
Haralur Road,2 BHK,1194,2,47,3936
Bannerghatta,2 BHK,1100,2,66,6000
Whitefield,3 BHK,1655,3,120,7250
Kanakpura Road,3 BHK,1691.2,3,115,6799
Ramagondanahalli,2 BHK,1215,2,46.1,3794
Kanakpura Road,2 BHK,1155,2,50.125,4339
Hoodi,3 BHK,1639,3,129,7870
Sarjapur  Road,3 BHK,1685,3,135,8011
other,5 Bedroom,1008,4,180,17857
Hormavu,2 BHK,1100,2,38,3454
Marathahalli,3 BHK,2122,3,125,5890
Vasanthapura,2 BHK,1050,2,47,4476
Kengeri,2 BHK,1230,2,45,3658
5th Phase JP Nagar,3 BHK,1240,3,60,4838
Electronic City Phase II,3 BHK,1252,2,65,5191
other,3 BHK,1374,2,88,6404
8th Phase JP Nagar,1 BHK,500,1,30,6000
Arekere,8 Bedroom,1200,8,225,18750
Hebbal,3 BHK,1355,3,83.87,6189
Banashankari,2 BHK,1040,2,45,4326
Sarjapur  Road,2 BHK,1350,2,68,5037
Whitefield,4 BHK,4003,6,300,7494
Hennur,3 BHK,2400,3,135,5625
Haralur Road,3 BHK,1560,3,90,5769
Anandapura,2 BHK,1151,2,43.16,3749
Uttarahalli,3 BHK,1360,2,47.59,3499
other,2 BHK,1250,2,60,4800
Chandapura,3 BHK,1110,2,29.97,2700
Hennur Road,2 BHK,1015,2,50,4926
Kadugodi,3 BHK,1351,2,78,5773
Yelahanka New Town,2 BHK,960,2,50,5208
other,2 BHK,1110,2,52,4684
R.T. Nagar,3 BHK,1680,3,72,4285
Arekere,3 Bedroom,2400,3,180,7500
other,4 Bedroom,11000,5,2000,18181
other,3 BHK,1350,3,48.6,3600
Horamavu Banaswadi,2 BHK,1254,2,47,3748
Haralur Road,3 BHK,1255,3,115,9163
CV Raman Nagar,2 BHK,1051,2,61,5803
other,3 Bedroom,1200,3,205,17083
Uttarahalli,2 BHK,1099,2,65,5914
Hebbal,3 BHK,2650,4,199,7509
other,4 Bedroom,2000,2,160,8000
Yeshwanthpur,2 BHK,1541,2,130,8436
Sarjapur  Road,3 Bedroom,1200,3,70,5833
Whitefield,2 BHK,1125,2,45,4000
Vittasandra,3 BHK,1650,3,85,5151
other,1 BHK,834,1,62,7434
Gollarapalya Hosahalli,3 BHK,1320,3,60,4545
Malleshpalya,3 Bedroom,1200,3,149,12416
other,8 Bedroom,1000,7,160,16000
Mysore Road,3 BHK,1500,3,74,4933
Whitefield,4 Bedroom,4400,5,500,11363
other,1 Bedroom,600,1,52,8666
Whitefield,2 BHK,1180,2,70,5932
Kadugodi,2 BHK,1010,2,50,4950
Channasandra,2 BHK,1070,2,38,3551
Choodasandra,3 BHK,1580,3,105,6645
other,4 Bedroom,1200,5,325,27083
Green Glen Layout,3 BHK,2000,3,165,8250
Iblur Village,3 BHK,1920,3,130,6770
Sanjay nagar,3 BHK,1200,2,76,6333
Kalena Agrahara,2 BHK,1040,2,45,4326
Hulimavu,3 BHK,1430,2,90,6293
Uttarahalli,3 BHK,1215,2,52.85,4349
Domlur,1 BHK,650,1,70,10769
Thanisandra,3 BHK,1564,3,105,6713
other,3 Bedroom,800,2,52,6500
Hormavu,2 Bedroom,750,2,58,7733
Kasavanhalli,2 BHK,1200,2,60,5000
Raja Rajeshwari Nagar,2 BHK,1128,2,48.79,4325
Begur Road,2 BHK,1200,2,44.4,3700
other,4 BHK,2000,4,135,6750
other,3 BHK,2750,3,260,9454
other,4 Bedroom,2400,4,480,20000
Yelahanka,3 BHK,1650,3,105,6363
1st Block Jayanagar,2 BHK,1235,2,148,11983
Yelahanka,2 BHK,1200,2,55,4583
other,6 BHK,900,5,100,11111
Kengeri Satellite Town,2 BHK,985,2,42,4263
Ramagondanahalli,3 BHK,1475,2,63,4271
Hebbal,3 BHK,3450,5,348,10086
Sarjapur  Road,3 BHK,1157,2,53.99,4666
other,2 BHK,900,2,35,3888
Gottigere,4 Bedroom,2500,3,120,4800
GM Palaya,2 BHK,1030,2,60,5825
other,2 BHK,1000,2,46,4600
Sarjapur  Road,4 Bedroom,3800,3,325,8552
Kasavanhalli,4 Bedroom,4260,4,333,7816
Brookefield,5 Bedroom,1950,6,175,8974
Kudlu,3 BHK,1570,2,65.94,4200
Kanakapura,2 BHK,1283,2,68,5300
Electronic City Phase II,3 BHK,875,2,40,4571
other,2 BHK,1200,2,52,4333
HAL 2nd Stage,3 Bedroom,2700,3,500,18518
Konanakunte,3 Bedroom,2400,2,180,7500
Kathriguppe,3 BHK,1250,2,68.75,5500
Old Madras Road,4 BHK,3630,6,196,5399
Yelahanka,2 BHK,990,2,37.62,3800
Panathur,2 BHK,1199,2,85,7089
other,2 BHK,1280,2,90,7031
1st Block Jayanagar,4 BHK,2750,4,413,15018
other,2 BHK,1190,2,55,4621
Yelachenahalli,2 BHK,1100,2,60,5454
other,3 BHK,2075,3,175,8433
Harlur,2 BHK,1133,2,55,4854
Somasundara Palya,4 BHK,2400,3,140,5833
Whitefield,2 BHK,1280,2,69,5390
Horamavu Agara,3 BHK,1250,3,65,5200
Begur Road,3 BHK,1565,2,49.3,3150
other,3 BHK,1900,3,65,3421
Munnekollal,2 BHK,1080,2,45,4166
Battarahalli,1 BHK,600,1,47,7833
other,3 Bedroom,1240,4,180,14516
HRBR Layout,3 BHK,1335,2,87,6516
Vittasandra,2 BHK,1246,2,67.3,5401
Sarjapur  Road,3 BHK,1385,3,55,3971
other,3 BHK,1578,3,73.9,4683
HSR Layout,2 BHK,1140,2,46,4035
Sarjapur  Road,3 BHK,1700,3,79.9,4700
other,4 Bedroom,1050,4,90,8571
Vidyaranyapura,2 BHK,1120,2,70,6250
Electronic City,1 BHK,435,1,22,5057
Magadi Road,2 BHK,1116,2,51.89,4649
Old Madras Road,3 BHK,1480,3,95,6418
Hormavu,2 BHK,1000,2,50,5000
HSR Layout,2 BHK,1145,2,46,4017
Bommasandra,2 BHK,800,1,32,4000
Thanisandra,2 BHK,1265,2,83,6561
Devanahalli,3 BHK,1700,3,88.2,5188
other,2 BHK,1475,2,70,4745
BTM 2nd Stage,2 BHK,1265,2,55,4347
Anandapura,2 Bedroom,1200,2,58,4833
1st Phase JP Nagar,3 BHK,2180,3,210,9633
Brookefield,2 BHK,1080,2,50,4629
Whitefield,3 BHK,2023,4,130,6426
other,2 BHK,2400,2,125,5208
Kadubeesanahalli,3 BHK,1545,2,66,4271
Kalena Agrahara,3 BHK,1804,3,166,9201
other,2 Bedroom,1200,2,200,16666
6th Phase JP Nagar,3 BHK,1350,2,58,4296
Hoodi,2 BHK,1108,2,74.23,6699
Marathahalli,3 BHK,1730,3,115,6647
other,3 BHK,1427,2,70,4905
Yelahanka,2 BHK,935,2,35.53,3800
Sarjapura - Attibele Road,2 BHK,1073,2,31.77,2960
Ananth Nagar,2 BHK,960,2,37,3854
Thigalarapalya,3 BHK,2215,4,150,6772
Electronic City Phase II,2 BHK,1125,2,32.49,2888
Brookefield,2 BHK,1230,2,55,4471
Mahadevpura,2 BHK,1438,2,89,6189
7th Phase JP Nagar,2 BHK,1080,2,75,6944
Hebbal Kempapura,3 Bedroom,1200,3,125,10416
Marathahalli,2 Bedroom,1200,1,103,8583
Uttarahalli,3 BHK,1590,3,58,3647
other,3 BHK,1350,3,68,5037
Raja Rajeshwari Nagar,3 BHK,1400,2,48,3428
Kaggadasapura,3 BHK,1560,2,72,4615
Mallasandra,4 BHK,1810,3,57,3149
other,3 BHK,2274.24,4,160,7035
Sonnenahalli,3 BHK,1484,3,74.18,4998
Indira Nagar,3 BHK,1650,3,220,13333
other,3 BHK,1455,2,55,3780
Thanisandra,3 BHK,2280,4,184,8070
other,5 BHK,4900,5,980,20000
Frazer Town,3 BHK,2079,3,220,10582
Bharathi Nagar,2 BHK,1351,2,74,5477
Kanakpura Road,3 BHK,1223,2,42.81,3500
KR Puram,3 BHK,1430,2,61,4265
Whitefield,4 Bedroom,3589,5,400,11145
Electronic City Phase II,3 BHK,1310,2,37.83,2887
Channasandra,4 Bedroom,1800,4,300,16666
Giri Nagar,4 Bedroom,1120,4,175,15625
Sarjapur  Road,2 BHK,984,2,55,5589
Jalahalli,3 BHK,1770,3,100,5649
other,2 Bedroom,900,3,105,11666
Ramamurthy Nagar,5 Bedroom,1350,5,120,8888
Bhoganhalli,2 BHK,1447,2,75.97,5250
Margondanahalli,2 Bedroom,1140,2,60,5263
Bommanahalli,2 BHK,1170,2,34,2905
Poorna Pragna Layout,2 BHK,1160,2,46.39,3999
Kanakpura Road,2 BHK,1296,2,89,6867
other,3 BHK,1570,3,80,5095
other,3 BHK,1495,2,65,4347
Hoodi,3 BHK,1530,2,67,4379
Rajaji Nagar,5 Bedroom,900,4,140,15555
Gunjur,3 BHK,1800,3,70,3888
Bellandur,2 BHK,1088,2,48,4411
Hosa Road,3 BHK,1533,3,98.18,6404
Rachenahalli,2 BHK,1100,2,68,6181
Thubarahalli,3 BHK,1540,3,90,5844
Hebbal,2 BHK,1244,3,48,3858
Hosa Road,2 BHK,1040,2,68.59,6595
other,6 BHK,1034,6,101,9767
Begur Road,2 BHK,1260,2,39.69,3150
Uttarahalli,2 BHK,1180,2,41.3,3499
Thigalarapalya,2 BHK,1245,2,100,8032
other,3 BHK,1350,3,75,5555
other,3 BHK,1464,3,56,3825
other,1 BHK,470,2,10,2127
Vijayanagar,2 BHK,920,2,60,6521
other,6 Bedroom,2300,7,160,6956
Sarjapur,2 BHK,1124,2,30.35,2700
Yelahanka New Town,4 BHK,2095,3,109,5202
Begur Road,2 BHK,1100,2,71.42,6492
Vijayanagar,2 BHK,1019,2,58,5691
Harlur,3 BHK,1756,3,128,7289
Bommasandra,3 BHK,1280,3,50,3906
Kenchenahalli,4 Bedroom,1200,3,125,10416
Indira Nagar,3 BHK,1700,3,150,8823
Whitefield,3 BHK,2134,4,118,5529
Hosa Road,2 BHK,1369.1,2,98,7157
Subramanyapura,3 Bedroom,600,3,69,11500
other,3 Bedroom,1313,4,150,11424
other,3 BHK,2515,4,155,6163
Thigalarapalya,3 BHK,2215,4,154,6952
other,3 BHK,1440,3,72,5000
Hennur Road,3 BHK,1186,2,55.33,4665
Uttarahalli,3 BHK,1350,2,47.24,3499
Hebbal,3 BHK,1800,3,140,7777
Kudlu,3 BHK,1600,3,79,4937
GM Palaya,2 BHK,1000,2,35,3500
Cunningham Road,3 BHK,2275,3,285,12527
Banashankari Stage III,3 BHK,1305,2,59,4521
Binny Pete,3 BHK,1740,3,150,8620
Malleshwaram,2 BHK,900,2,90,10000
Benson Town,2 BHK,1567,3,140,8934
Kambipura,3 BHK,1082,2,45.5,4205
Nagarbhavi,2 BHK,1050,2,80,7619
other,2 BHK,1200,2,56,4666
Begur,3 Bedroom,3500,4,185,5285
Dasarahalli,2 BHK,1220,2,52,4262
Binny Pete,3 BHK,1970,3,164,8324
other,3 BHK,2665,3,350,13133
Kanakapura,4 BHK,2130,4,120,5633
Harlur,3 BHK,1749,3,120,6861
Subramanyapura,2 BHK,1260,2,108,8571
6th Phase JP Nagar,2 BHK,1170,2,120,10256
other,3 BHK,1670,3,75,4491
Hennur Road,3 BHK,2264,3,168,7420
other,4 BHK,3500,5,450,12857
Begur,2 BHK,1100,2,55,5000
Chandapura,2 BHK,674,1,19.9,2952
Koramangala,2 BHK,1320,2,160,12121
Vishveshwarya Layout,4 Bedroom,600,4,85,14166
Electronics City Phase 1,2 BHK,1125,2,65,5777
Nagavara,2 BHK,1125,2,44.5,3955
other,2 BHK,700,2,29,4142
BTM Layout,3 BHK,1300,2,75,5769
JP Nagar,3 BHK,1600,3,83,5187
Magadi Road,3 BHK,1052,2,60,5703
other,4 BHK,1140,3,145,12719
Devarachikkanahalli,2 BHK,1130,2,36,3185
other,4 Bedroom,1140,3,225,19736
BTM 2nd Stage,3 BHK,2200,3,220,10000
Electronic City,3 BHK,1500,2,63,4200
Old Madras Road,3 BHK,1350,3,47.25,3500
Gottigere,3 BHK,1230,2,52,4227
Haralur Road,3 BHK,1520,2,85,5592
Kanakpura Road,1 BHK,525,1,26.25,5000
Hosa Road,2 BHK,1040,2,61,5865
other,3 BHK,1300,2,67,5153
Old Airport Road,4 BHK,2690,4,201,7472
Domlur,1 BHK,780,1,70,8974
Panathur,2 BHK,1140,2,51.2,4491
Chandapura,3 BHK,1225,3,33.08,2700
Nagavarapalya,1 BHK,646,1,25.84,4000
Cox Town,3 BHK,1600,3,150,9375
Kadugodi,3 BHK,1890,4,125,6613
Kadugodi,2 BHK,1050,2,34,3238
other,6 Bedroom,1200,4,100,8333
Whitefield,3 BHK,1458,2,62,4252
other,5 Bedroom,1200,6,86,7166
Green Glen Layout,3 BHK,1970,3,160,8121
Whitefield,3 Bedroom,1808,4,80,4424
Balagere,2 BHK,1007,2,67,6653
Doddathoguru,2 BHK,1105,2,50,4524
Lakshminarayana Pura,3 BHK,1700,3,150,8823
Raja Rajeshwari Nagar,2 BHK,1170,2,50,4273
Chandapura,2 BHK,1080,2,45,4166
